CATEGORY,CND CODE,LEVEL,BOTTOM LEVEL YES/NO,CATEGORY DESCRIPTION ITALIAN,CND CODE DESCRIPTION ITALIAN,CATEGORY DESCRIPTION,CND CODE DESCRIPTION
G,G0103,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA ORO-ESOFAGEA,GASTROINTESTINAL DEVICES,ORO-ESOPAGHEAL DIAGNOSTIC TUBES
G,G010301,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER pH-METRIA ESOFAGEA,GASTROINTESTINAL DEVICES,"OESOPHAGEAL PH-METRY, TUBES"
G,G010302,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI PER MANOMETRIA ESOFAGEA,GASTROINTESTINAL DEVICES,"OESOPHAGEAL MANOMETRY, CATHETERS"
G,G010303,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI PER SCIALOGRAFIA,GASTROINTESTINAL DEVICES,"SIALOGRAPHY, CATHETERS"
G,G010304,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER pH-METRIA E IMPEDENZOMETRIA ESOFAGEA,GASTROINTESTINAL DEVICES,TUBES FOR pH METRY AND OESOPHAGEAL IMPEDANCE ANALYSIS
G,G010305,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER pH-METRIA ESOFAGEA E PER VALUTAZIONE DEL REFLUSSO BILIARE,GASTROINTESTINAL DEVICES,TUBES FOR OESOPHAGEA pH METRY AND BILIARY REFLUX ASSESSMENT
G,G010399,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA ORO-ESOFAGEA - ALTRE,GASTROINTESTINAL DEVICES,ORO-OESOPAGHEAL DIAGNOSTIC TUBES - OTHER
G,G0180,3,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE ORO-ESOFAGEE - ACCESSORI,GASTROINTESTINAL DEVICES,ORO-OESOPHAGEAL TUBES - ACCESSORIES
G,G0199,3,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE ORO-ESOFAGEE - ALTRE,GASTROINTESTINAL DEVICES,ORO-OESOPHAGEAL TUBES - OTHER
G,G02,2,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT GASTRO-INTESTINALI,GASTROINTESTINAL DEVICES,GASTROINTESTINAL TUBES AND SETS
G,G0201,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER LAVAGGIO GASTRO-INTESTINALE,GASTROINTESTINAL DEVICES,GASTRO-INTESTINAL LAVAGE TUBES AND SETS
G,G020101,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER LAVANDA GASTRICA,GASTROINTESTINAL DEVICES,GASTRIC LAVAGE TUBES AND SETS
G,G020102,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER LAVAGGIO INTESTINALE,GASTROINTESTINAL DEVICES,INTESTINAL LAVAGE TUBES AND SETS
G,G020199,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER LAVAGGIO GASTRO-INTESTINALE - ALTRE,GASTROINTESTINAL DEVICES,"GASTROINTESTINAL LAVAGE, TUBES AND SETS - OTHER"
G,G0202,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER ALIMENTAZIONE ED ASPIRAZIONE GASTRO-INTESTINALE,GASTROINTESTINAL DEVICES,GASTROINTESTINAL FEEDING/ASPIRATION TUBES
G,G020201,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE NASO-GASTRO-INTESTINALI,GASTROINTESTINAL DEVICES,NASOGASTRIC INTESTINAL TUBES
G,G02020101,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE NASO-GASTRICHE,GASTROINTESTINAL DEVICES,NASOGASTRIC TUBES
G,G02020102,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE NASO-DUODENO-DIGIUNALI,GASTROINTESTINAL DEVICES,NASOJEJUNAL/NASODUODENAL TUBES
G,G02020199,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE NASO-GASTRO-INTESTINALI - ALTRE,GASTROINTESTINAL DEVICES,NASOGASTRIC INTESTINAL TUBES - OTHER
G,G020202,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER GASTRO-DIGIUNOSTOMIA,GASTROINTESTINAL DEVICES,"GASTRO-JEJUNOSTOMY, TUBES AND SETS"
G,G02020201,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER GASTROSTOMIA,GASTROINTESTINAL DEVICES,"GASTROSTOMY, TUBES AND SETS"
G,G02020202,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER DIGIUNOSTOMIA,GASTROINTESTINAL DEVICES,"JEJUNOSTOMY, TUBES AND SETS"
G,G02020203,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE E KIT PER ILEOSTOMIA,GASTROINTESTINAL DEVICES,"ILEOSTOMY, TUBES AND SETS"
G,G020299,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER ALIMENTAZIONE ED ASPIRAZIONE GASTRO-INTESTINALE - ALTRE,GASTROINTESTINAL DEVICES,GASTROINTESTINAL FEEDING/ASPIRATION TUBES - OTHER
G,G0203,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER EVACUAZIONE,GASTROINTESTINAL DEVICES,EVACUATION TUBES
G,G020301,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE RETTALI,GASTROINTESTINAL DEVICES,RECTAL TUBES
G,G020399,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER EVACUAZIONE - ALTRE,GASTROINTESTINAL DEVICES,EVACUATION TUBES - OTHER
G,G0204,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER EMOSTASI GASTRO-INTESTINALE,GASTROINTESTINAL DEVICES,GASTROINTESTINAL HAEMOSTASIS DEVICES
G,G020401,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SET PER LEGATURA DELLE EMORROIDI,GASTROINTESTINAL DEVICES,HAEMORRHOID LIGATURE SETS
G,G020402,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER SCLEROTERAPIA DELLE EMORROIDI,GASTROINTESTINAL DEVICES,HAEMORRHOID SCLEROTHERAPY DEVICES
G,G020499,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER EMOSTASI GASTRO-INTESTINALE - ALTRI,GASTROINTESTINAL DEVICES,GASTROINTESTINAL HAEMOSTASIS DEVICES - OTHER
G,G0205,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER IL TRATTAMENTO CHIRURGICO DELL'OBESITA',GASTROINTESTINAL DEVICES,DEVICES FOR THE SURGICAL OBESITY THERAPY
G,G020501,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SISTEMI DI BENDAGGIO GASTRICO,GASTROINTESTINAL DEVICES,GASTRIC BANDS
G,G020502,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,TUBI DI CALIBRAZIONE GASTRICA,GASTROINTESTINAL DEVICES,GASTRIC CALIBRATION TUBES
G,G020503,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,KIT PER LA REGOLAZIONE DI SISTEMI DI BENDAGGIO GASTRICO,GASTROINTESTINAL DEVICES,GASTRIC BAND SYSTEM ADJUSTMENT SETS
G,G020599,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER IL TRATTAMENTO CHIRURGICO DELL'OBESITA' - ALTRI,GASTROINTESTINAL DEVICES,DEVICES FOR THE SURGICAL THERAPY OF OBESITY - OTHER
G,G0206,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER DIAGNOSTICA GASTRO-INTESTINALE,GASTROINTESTINAL DEVICES,DEVICES FOR GASTROINTESTINAL DIAGNOSTIC PROCEDURES
G,G020601,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA GASTRO-DUODENALE-DIGIUNALE,GASTROINTESTINAL DEVICES,GASTROINTESTINAL DIAGNOSTIC PROCEDURE CATHETERS
G,G02060101,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DUODENOGRAFIA,GASTROINTESTINAL DEVICES,DUODENOGRAPHY CATHETERS
G,G02060102,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER MANOMETRIA GASTRO-DIGIUNALE,GASTROINTESTINAL DEVICES,CATHETERS FOR GASTRO-JEJUNAL MANOMETRY
G,G02060199,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA GASTRO-DUODENALE-DIGIUNALE - ALTRE,GASTROINTESTINAL DEVICES,CATHETERS FOR GASTRO-DUODENAL-DIGIUNAL DIAGNOSTICS - OTHER
G,G020602,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA BILIARE E PANCREATICA,GASTROINTESTINAL DEVICES,CATHETERS FOR BILIARY AND PANCREATIC DIAGNOSTIC PROCEDURES
G,G02060201,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER COLANGIOGRAFIA A CIELO APERTO,GASTROINTESTINAL DEVICES,OPEN SURGERY CHOLANGIOGRAPHY CATHETERS
G,G02060202,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER MANOMETRIA BILIARE,GASTROINTESTINAL DEVICES,BILIARY MANOMETRY CATHETERS
G,G02060299,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER DIAGNOSTICA BILIARE E PANCREATICA - ALTRE,GASTROINTESTINAL DEVICES,BILIARY AND PANCREATIC DIAGNOSTIC PROCEDURE CATHETERS - OTHER
G,G020603,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER DIAGNOSTICA COLO-RETTALE,GASTROINTESTINAL DEVICES,DEVICES FOR COLORECTAL DIAGNOSTIC PROCEDURES
G,G02060301,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,ANOSCOPI,GASTROINTESTINAL DEVICES,ANOSCOPES
G,G02060302,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,RETTOSCOPI RIGIDI,GASTROINTESTINAL DEVICES,RIGID PROCTOSCOPES
G,G02060303,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE A PALLONCINO PER CLISMA OPACO,GASTROINTESTINAL DEVICES,"BALLOON CATHETERS, BARIUM ENEMA"
G,G02060304,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER INSUFFLAZIONE COLO-RETTALE,GASTROINTESTINAL DEVICES,COLORECTAL INSUFFLATION TUBES
G,G02060305,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER MANOMETRIA COLO-RETTALE,GASTROINTESTINAL DEVICES,COLORECTAL MANOMETRY CATHETERS
G,G02060399,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER DIAGNOSTICA COLO-RETTALE - ALTRI,GASTROINTESTINAL DEVICES,DEVICES FOR COLORECTAL DIAGNOSTIC PROCEDURES - OTHER
G,G0280,3,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE GASTRO-INTESTINALI - ACCESSORI,GASTROINTESTINAL DEVICES,GASTROINTESTINAL TUBES - ACCESSORIES
G,G0299,3,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE GASTRO-INTESTINALI - ALTRE,GASTROINTESTINAL DEVICES,GASTROINTESTINAL TUBES - OTHER
G,G03,2,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,GASTROINTESTINAL ENDOSCOPY DEVICES
G,G0301,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER DILATAZIONE ENDOSCOPICA DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,DEVICES FOR DILATION IN DIGESTIVE ENDOSCOPY
G,G030101,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PER ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"GASTROINTESTINAL ENDOSCOPY, BALLOON CATHETERS"
G,G03010101,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO ESOFAGEI,GASTROINTESTINAL DEVICES,OESOPHAGEAL BALLOON CATHETERS
G,G0301010101,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO ESOFAGEI A BASSA PRESSIONE,GASTROINTESTINAL DEVICES,"OESOPHAGEAL BALLOON CATHETERS, LOW PRESSURE"
G,G0301010102,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO ESOFAGEI AD ALTA PRESSIONE,GASTROINTESTINAL DEVICES,"OESOPHAGEAL BALLOON CATHETERS, HIGH PRESSURE"
G,G03010102,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PER ACALASIA,GASTROINTESTINAL DEVICES,ACHALASIA BALLOON CATHETERS
G,G0301010201,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PER ACALASIA A BASSA PRESSIONE,GASTROINTESTINAL DEVICES,"ACHALASIA BALLOON CATHETERS, LOW PRESSURE"
G,G0301010202,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PER ACALASIA AD ALTA PRESSIONE,GASTROINTESTINAL DEVICES,"ACHALASIA BALLOON CATHETERS, HIGH PRESSURE"
G,G03010103,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PILORICI,GASTROINTESTINAL DEVICES,PYLORIC BALLOON CATHETERS
G,G0301010301,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PILORICI A BASSA PRESSIONE,GASTROINTESTINAL DEVICES,"PYLORIC BALLOON CATHETERS, LOW PRESSURE"
G,G0301010302,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PILORICI AD ALTA PRESSIONE,GASTROINTESTINAL DEVICES,"PYLORIC BALLOON CATHETERS, HIGH PRESSURE"
G,G03010104,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO BILIARI,GASTROINTESTINAL DEVICES,BILIARY BALLOON CATHETERS
G,G0301010401,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO BILIARI A BASSA PRESSIONE,GASTROINTESTINAL DEVICES,"BILIARY BALLOON CATHETERS, LOW PRESSURE"
G,G0301010402,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO BILIARI AD ALTA PRESSIONE,GASTROINTESTINAL DEVICES,"BILIARY BALLOON CATHETERS, HIGH PRESSURE"
G,G03010105,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO COLICI,GASTROINTESTINAL DEVICES,COLONIC BALLOON CATHETERS
G,G0301010501,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO COLICI A BASSA PRESSIONE,GASTROINTESTINAL DEVICES,"COLONIC BALLOON CATHETERS, LOW PRESSURE"
G,G0301010502,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO COLICI AD ALTA PRESSIONE,GASTROINTESTINAL DEVICES,"COLONIC BALLOON CATHETERS, HIGH PRESSURE"
G,G03010199,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CATETERI A PALLONCINO PER ENDOSCOPIA DIGESTIVA - ALTRI,GASTROINTESTINAL DEVICES,"GASTROINTESTINAL ENDOSCOPY, BALLOON CATHETERS - OTHER"
G,G030102,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DILATATORI ENDOSCOPICI PROGRESSIVI DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, PROGRESSIVE DILATORS"
G,G03010201,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DILATATORI ENDOSCOPICI PROGRESSIVI RIGIDI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, PROGRESSIVE RIGID DILATORS"
G,G03010202,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DILATATORI ENDOSCOPICI PROGRESSIVI FLESSIBILI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, PROGRESSIVE FLEXIBLE DILATORS"
G,G0302,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER EMOSTASI ENDOSCOPICA DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, HAEMOSTASIS DEVICES"
G,G030201,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,AGHI PER ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, NEEDLES"
G,G03020101,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,AGHI MONOLUME PER ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, SINGLE-LUMEN NEEDLES"
G,G03020102,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,AGHI PLURILUME PER ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, MULTI-LUMEN NEEDLES"
G,G030202,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CLIP PER EMOSTASI ENDOSCOPICA DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, HAEMOSTASIS CLIPS"
G,G030203,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SISTEMI DI LEGATURA ENDOSCOPICA DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, LIGATURE SYSTEMS"
G,G03020301,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI DI LEGATURA DELLE VARICI ESOFAGEE,GASTROINTESTINAL DEVICES,"LIGATURE SYSTEMS, OESOPHAGEAL VARICES"
G,G03020302,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI DI LEGATURA DEI POLIPI DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE LIGATURE DEVICES, POLYPS"
G,G03020399,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SISTEMI DI LEGATURA ENDOSCOPICA DELLE VIE DIGERENTI - ALTRI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, LIGATURE SYSTEMS - OTHER"
G,G030204,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDE PER TERMOCOAGULAZIONE ENDOSCOPICA DELLE VIE DIGERENTI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, THERMOCOAGULATION PROBES"
G,G030299,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER EMOSTASI ENDOSCOPICA DELLE VIE DIGERENTI - ALTRI,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, HAEMOSTASIS DEVICES - OTHER"
G,G0303,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER POLIPECTOMIA,GASTROINTESTINAL DEVICES,POLYPECTOMY DEVICES
G,G030301,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,ANSE PER POLIPECTOMIA,GASTROINTESTINAL DEVICES,POLYPECTOMY SNARES
G,G03030101,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,ANSE ROTANTI PER POLIPECTOMIA,GASTROINTESTINAL DEVICES,"POLYPECTOMY SNARES, REVOLVING"
G,G03030102,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,ANSE NON ROTANTI PER POLIPECTOMIA,GASTROINTESTINAL DEVICES,"POLYPECTOMY SNARES, NON-REVOLVING"
G,G03030199,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,ANSE PER POLIPECTOMIA - ALTRE,GASTROINTESTINAL DEVICES,POLYPECTOMY SNARES - OTHER
G,G030399,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER POLIPECTOMIA - ALTRI,GASTROINTESTINAL DEVICES,POLYPECTOMY DEVICES - OTHER
G,G0304,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER ERCP E SFINTEROTOMIA,GASTROINTESTINAL DEVICES,ENDOSCOPIC RETROGRADE CHOLANGIOPANCREATOGRAPHY (ERCP) AND SPHINCTEROTOMY DEVICES
G,G030401,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP,GASTROINTESTINAL DEVICES,ERCP CANNULAS
G,G03040101,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN"
G,G0304010101,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME A PUNTA STANDARD,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN, STANDARD TIP"
G,G0304010102,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME A PUNTA CONICA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN, CONICAL TIP"
G,G0304010103,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME A PUNTA RASTREMATA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN, TAPERED TIP"
G,G0304010104,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME A PUNTA SFERICA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN, CIRCULAR TIP"
G,G0304010199,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP MONOLUME - ALTRE,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, SINGLE-LUMEN - OTHER"
G,G03040102,5,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN"
G,G0304010201,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME A PUNTA STANDARD,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN, STANDARD TIP"
G,G0304010202,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME A PUNTA CONICA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN, CONICAL TIP"
G,G0304010203,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME A PUNTA RASTREMATA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN, TAPERED TIP"
G,G0304010204,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME A PUNTA SFERICA,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN, CIRCULAR TIP"
G,G0304010299,6,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,CANNULE PER ERCP PLURILUME - ALTRE,GASTROINTESTINAL DEVICES,"ERCP CANNULAS, MULTI-LUMEN - OTHER"
G,G030402,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,PAPILLOTOMI O SFINTEROTOMI,GASTROINTESTINAL DEVICES,PAPILLOTOMES / SPHINCTEROTOMES
G,G03040201,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,PAPILLOTOMI O SFINTEROTOMI BILUME,GASTROINTESTINAL DEVICES,"PAPILLOTOMES / SPHINCTEROTOMES, DOUBLE-LUMEN"
G,G03040202,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,PAPILLOTOMI O SFINTEROTOMI TRILUME E PIU',GASTROINTESTINAL DEVICES,"PAPILLOTOMES / SPHINCTEROTOMES, TRIPLE (OR MORE) LUMEN"
G,G03040299,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,PAPILLOTOMI O SFINTEROTOMI - ALTRI,GASTROINTESTINAL DEVICES,PAPILLOTOMES / SPHINCTEROTOMES - OTHER
G,G030403,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDINI NASO-BILIARI-PANCREATICI,GASTROINTESTINAL DEVICES,NASO-BILIARY-PANCREATIC TUBES
G,G03040301,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDINI BILIARI,GASTROINTESTINAL DEVICES,BILIARY TUBES
G,G03040302,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDINI PER DOTTI EPATICI,GASTROINTESTINAL DEVICES,HEPATIC DUCT TUBES
G,G03040303,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,SONDINI PANCREATICI,GASTROINTESTINAL DEVICES,PANCREATIC TUBES
G,G030499,4,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER ERCP E SFINTEROTOMIA - ALTRI,GASTROINTESTINAL DEVICES,ERCP AND SPHINCTEROTOMY DEVICES - OTHER
G,G0305,3,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,"DISPOSITIVI PER RECUPERO E LITOTRISSIA (recupero calcoli, polipi e corpi estranei)",GASTROINTESTINAL DEVICES,"RETRIEVAL AND LITHOTRIPSY DEVICES (stones, polyps and foreign bodies)"
G,G030501,4,NO,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER RECUPERO IN ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, RETRIEVAL DEVICES"
G,G03050101,5,YES,DISPOSITIVI PER APPARATO GASTRO-INTESTINALE,DISPOSITIVI PER RECUPERO A PALLONCINO IN ENDOSCOPIA DIGESTIVA,GASTROINTESTINAL DEVICES,"DIGESTIVE ENDOSCOPY, RETRIEVAL BALLOON DEVICES"
